Diffusion_name,Territoire,Type,Type d'intervenant.e,Permanents,Bénévoles,Nb de pros,Contact(s) lié(s),Nb de bénéficiaires,Date,Compte-rendu,Prochaines étapes,Retour ?,Fiches,Organisme (from Fiches),Photos,Personne à informer de ce CR
Sensib pro Centre Socioculturel de BelleVille (CSBV),75,Rencontre structure,,,,,,,,,,,Centre Socioculturel de BelleVille (CSBV),"""Association BelleVille
""",,
Sensib pro Bagagerie  des Halles,75,Rencontre structure,,,,,,,,,,,Bagagerie des Halles,Association Mains Libres,,
Sensib pro PIMMS  Paris-Nord-Est,75,Rencontre structure,,,,,,,,,,,PIMMS Paris-Nord-Est,PIMMS,,
Sensib pro Hôpital  la Pitié-Salpêtrière - PASS,75,Rencontre structure,,,,,,,,,,,Hôpital la Pitié-Salpêtrière - PASS,PASS Hôpital la Pitié-Salpêtrière,,
Sensib pro Un toit pour toi,75,Rencontre structure,,,,,,,,,,,Un toit pour toi,Un toit pour toi,,
Sensib pro Emmaüs  Connect,75,Rencontre structure,,,,,,,,,,,Emmaüs  Connect,Emmaüs | Emmaüs Connect,,
Sensib pro Solidarités  nouvelles face au chômage,75,Rencontre structure,,,,,,,,,,,Solidarités nouvelles face au chômage (Paris 15e),Solidarités Nouvelles Face au Chômage,,
Sensib pro Centre d'Accueil et de Médiation Relationnelle Educative et Sociale,75,Rencontre structure,,,,,,,,,,,Centre d'Accueil et de Médiation Relationnelle Educative et Sociale,,,
Sensib pro Café  social (Espace Fârâbi),75,Rencontre structure,,,,,,,,,,,Café social (Espace Fârâbi),Espace Fârâbi,,
Sensib pro EACP  (Equipe d’Action contre le Proxénétisme),75,Rencontre structure,,,,,,,,,,,EACP (Equipe d’Action contre le Proxénétisme),EACP (Equipe d’Action contre le Proxénétisme),,
Sensib pro Saint-christophe  de Javel,75,Rencontre structure,,,,,,,,,,,Saint-Christophe de Javel,Equipe Sait-Vincent | Saint-Christophe de Javel,,
Sensib pro SSP du CASVP du 14ème,75,Rencontre structure,,,,,,,,,,,SSP du CASVP du 14ème,CASVP,,
Sensib pro Centre  de Planification et d'Education Familiale (CPEF) - Centre Colliard,75,Rencontre structure,,,,,,,,,,,Centre  de Planification et d'Education Familiale (CPEF) - Centre Colliard,Estrelia | Centre de Planification et d'Education Familiale (CPEF) - Centre Colliard,,
Sensib pro Distribution  de petit-déjeuners,75,Rencontre structure,,,,,,,,,,,Petits-déj' de l'Armée du Salut - rue d'Aubervilliers,,,
Sensib pro Association  Samantha KOLEVA,75,Rencontre structure,,,,,,,,,,,Association   Samantha KOLEVA,,,
Sensib pro Accueil  15,75,Rencontre structure,,,,,,,,,,,Accueil 15,Saint-Vincent-de-Paul,,
Sensib pro Vestiboutique et écrivain publique Albert-Thomas,75,Rencontre structure,,,,,,,,,,,Vestiboutique et écrivain public Albert-Thomas,Croix-Rouge française ,,
Sensib pro Médiathèque  De La Canopée La Fontaine,75,Rencontre structure,,,,,,,,,,,Médiathèque De La Canopée La Fontaine,Ville de Paris | Médiathèque De La Canopée La Fontaine,,
Sensib pro Accueil  de jour des Apennins,75,Rencontre structure,,,,,,,,,,,Accueil de jour des Apennins,Secours Catholique | Délégation de Paris,,
sensib bénéficiaire ESI  La Halle Saint-Didier,75,Rencontre structure,,,,,,,,,,,ESI  La Halle Saint-Didier,ESI Halle Saint-Didier et ESI René Coty,,
Sensib pro RETIF,75,Rencontre structure,,,,,,,,,,,RETIF,,,
Sensib pro Espace  Solidarité Ramey - Secours Populaire,75,Rencontre structure,,,,,,,,,,,Espace Solidarité Ramey - Secours Populaire,Secours populaire français,,
Sensib pro Coordination  de l'Accueil des Familles Demandeuses d'Asile (CAFDA),75,Rencontre structure,,,,,,,,,,,Coordination  de l'Accueil des Familles Demandeuses d'Asile (CAFDA),Coordination  de l'Accueil des Familles Demandeuses d'Asile (CAFDA),,
sensib bénéficiaire ESI  Familles Bonne Nouvelle,75,Rencontre structure,,,,,,,,,,,,,,
Sensib pro Espace Paris Jeunes Mont-Cenis,75,Rencontre structure,,,,,,,,,,,Espace Paris Jeunes Mont-Cenis,Ville de Paris | Espaces Paris Jeunes,,
Sensib pro Bibliothèque Benjamin Rabier,75,Rencontre structure,,,,,,,,,,,Bibliothèque Benjamin Rabier,Ville de Paris | Bibliothèque Benjamin Rabier,,
Sensib pro ESI  l'Arche d'Avenirs,75,Rencontre structure,,,,,,,,,,,ESI  l'Arche d'Avenirs,ESI l'Arche D'avenir,,
Sensib pro Mouvement  de réinsertion social (MRS) 75,75,Rencontre structure,,,,,,,,,,,Mouvement de réinsertion social (MRS) 75,Mouvement de réinsertion social (MRS),,
Sensib pro Solidarités  nouvelles face au chômage,75,Rencontre structure,,,,,,,,,,,Solidarités nouvelles face au chômage (Paris 15e),Solidarités Nouvelles Face au Chômage,,
Sensib pro AGORAé 13ème,75,Rencontre structure,,,,,,,,,,,AGORAé 13ème,Association Générale des Étudiants de Paris,,
Sensib pro Refettorio  Paris,75,Rencontre structure,,,,,,,,,,,Refettorio Paris,Refettorio Paris,,
Sensib pro Centre de santé Polyvalent Olympiades,75,Rencontre structure,,,,,,,,,,,Centre de santé Polyvalent Olympiades,Croix-Rouge Française | Centre de santé Polyvalent Olympiades,,
Sensib pro Centre  MGEN,75,Rencontre structure,,,,,,,,,,,Centre MGEN,Centre MGEN,,
sensib bénéficiaire ESI  Halte Femmes,75,Rencontre structure,,,,,,,,,,,ESI Halte Femmes,Aurore | Halte sociale,,
Sensib pro Centre d'accueil et de distribution alimentaire Restos du Coeur 15ème Alleray,75,Rencontre structure,,,,,,,,,,,Centre d'accueil et de distribution alimentaire Restos du Coeur 15ème Alleray,Restos du cœur 75 - Centre d'accueil et de distribution alimentaire,,
Sensib pro RETIF,75,Rencontre structure,,,,,,,,,,,RETIF,,,
sensib bénéficiaire ESI  Bichat,75,Rencontre structure,,,,,,,,,,,ESI Bichat,Emmaüs Solidarité,,
Sensib pro PAJ  (Permanence Accueil jeunes),75,Rencontre structure,,,,,,,,,,,PAJ (Permanence Accueil jeunes),Association Nationale de Réadaptation Sociale,,
Sensib pro Entraide  et partage avec les sans-logis (EPALSL),75,Rencontre structure,,,,,,,,,,,Entraide et partage avec les sans-logis (EPALSL),EPALSL,,
Sensib pro RETIF,75,Rencontre structure,,,,,,,,,,,RETIF,,,
Sensib pro Site  Paris Avenir,75,Rencontre structure,,,,,,,,,,,Mission Locale - Site Paris Avenir,La Mission Locale de Paris,,
Sensib pro CSAPA  Adaje,75,Rencontre structure,,,,,,,,,,,CSAPA Drogue et Jeunesse - Centre ADAJE,"""CSAPA (Centre de Soins, d'Accompagnement et de Prévention en Addictologie) | CSAPA Drogue et Jeunesse - Centre ADAJE""",,
Sensib pro Centre social et culturel Danube (CSCD),75,Rencontre structure,,,,,,,,,,,Centre social et culturel Danube (CSCD),Centre social et culturel Danube (CSCD),,
sensib bénéficiaire ESI  Mazas,75,Rencontre structure,,,,,,,,,,,ESI   Mazas,,,
Sensib pro Chevaleret,75,Rencontre structure,,,,,,,,,,,Restaurant  Atlas,Aurore | Chevaleret,,
Sensib pro Vestiboutique  et Babyboutique 18,75,Rencontre structure,,,,,,,,,,,Vestiboutique  et Babyboutique 18,Croix-Rouge française | Vestiboutique et Babyboutique 18,,
Sensib pro Solidarités  nouvelles face au chômage,75,Rencontre structure,,,,,,,,,,,Solidarités nouvelles face au chômage (Paris 15e),Solidarités Nouvelles Face au Chômage,,
Sensib pro Centre  Paris Anim' Censier,75,Rencontre structure,,,,,,,,,,,Centre Paris Anim' Censier,Mairie de Paris | Centre Paris Anim' Censier,,
Sensib pro EPN  Ageca,75,Rencontre structure,,,,,,,,,,,EPN Ageca,EPN Ageca,,
sensib bénéficiaire ESI  Halte aux Femmes Battues (HAFB),75,Rencontre structure,,,,,,,,,,,ESI Halte aux Femmes Battues (HAFB),ESI Halte aux Femmes Battues (HAFB) | Association Halte aux Femmes Battues (HAFB),,
Sensib pro Régie  de quartier du 17e,75,Rencontre structure,,,,,,,,,,,Régie de quartier du 17e,Passerelles 17,,
Sensib pro Solidarités  nouvelles face au chômage,75,Rencontre structure,,,,,,,,,,,Solidarités nouvelles face au chômage (Paris 15e),Solidarités Nouvelles Face au Chômage,,
Sensib pro Ateliers  Pluriculturels,75,Rencontre structure,,,,,,,,,,,Ateliers Pluriculturels,Ateliers Pluriculturels,,
Sensib pro Union  générale des Vietnamiens en France,75,Rencontre structure,,,,,,,,,,,Union générale des Vietnamiens en France,Union générale des Vietnamiens en France,,
Sensib pro Accueil de jour Paris 4,75,Rencontre structure,,,,,,,,,,,Accueil de jour Paris 4,France Horizon,,
Sensib pro Bains-douches Bidassoa,75,Rencontre structure,,,,,,,,,,,Bains-douches Bidassoa,Bains-douches Mairie de Paris,,
Sensib pro EPN  La goutte d'ordinateur,75,Rencontre structure,,,,,,,,,,,EPN La goutte d'ordinateur,EPN La goutte d'ordinateur,,
Sensib pro RETIF place Maurice Fontenay (12ème),75,Rencontre structure,,,,,,,,,,,RETIF place Maurice Fontenay (12ème),RETIF ,,
Sensib pro Accompagnement  Vers le Logement Paris Saint Maur,75,Rencontre structure,,,,,,,,,,,Accompagnement  Vers le Logement Paris Saint Maur,Petits Frères des Pauvres | Accompagnement  Vers le Logement Paris Saint Maur,,
Sensib pro Boutique  de Solidarité - Secours Populaire,75,Rencontre structure,,,,,,,,,,,Boutique de Solidarité - Secours Populaire,Secours populaire français,,
Sensib pro Centre Alpha-Choisy,75,Rencontre structure,,,,,,,,,,,Centre Alpha-Choisy,Centre Alpha-Choisy,,
Sensib pro Croix-Rouge Unité locale Paris 15,75,Rencontre structure,,,,,,,,,,,Croix-Rouge Unité locale Paris 15,Croix-Rouge française | Unité locale Paris 15,,
sensib bénéficiaire ESI  La maison du partage - Fondation Armée du Salut,75,Rencontre structure,,,,,,,,,,,ESI La maison du partage - Fondation Armée du Salut,Armée du Salut | ESI,,
Sensib pro Le  Foyer de Grenelle,75,Rencontre structure,,,,,,,,,,,Le Foyer de Grenelle,Le Foyer de Grenelle,,
Sensib pro ESI  La maison dans le jardin,75,Rencontre structure,,,,,,,,,,,ESI La maison dans le jardin,Samu Social de Paris | ESI La maison dans le jardin,,
Sensib pro Le  Pari's des Faubourgs,75,Rencontre structure,,,,,,,,,,,Le Pari's des Faubourgs,Le Pari's des Faubourgs / Mairie Mobile Ville de Paris,,
Sensib pro Centre  Corot,75,Rencontre structure,,,,,,,,,,,Centre Corot,Entraide d'Auteuil,,
Sensib pro ADSF  - Agir pour la santé des femmes.,75,Rencontre structure,,,,,,,,,,,Repaire Santé Saint-Ouen ADSF - Agir pour la santé des femmes,ADSF,,
Sensib pro Itinérances,75,Rencontre structure,,,,,,,,,,,Itinérances,Aurore | Itinérances,,
Sensib pro Collecte  75,75,Rencontre structure,,,,,,,,,,,Collecte 75,Collecte 75,,
Sensib pro Centre de vaccinations Hôtel Dieu Parvis Notre Dame,75,Rencontre structure,,,,,,,,,,,Centre de vaccinations Hôtel Dieu Parvis Notre Dame,Hopital Hôtel Dieu | Centre de vaccinations Hôtel Dieu Parvis Notre Dame,,
Sensib pro ESI  La maison dans la rue,75,Rencontre structure,,,,,,,,,,,ESI La maison dans la rue,CASP | ESI La maison dans la rue,,
Sensib pro ESI  Chez monsieur Vincent,75,Rencontre structure,,,,,,,,,,,ESI Chez monsieur Vincent,Aux captifs la libération,,
Sensib pro Hôtel  Dieu - Paris - PASS,75,Rencontre structure,,,,,,,,,,,Hôtel Dieu - Paris - PASS,Hôtel Dieu - Paris | PASS,,
Sensib pro Ecrivain  public Croix Rouge,75,Rencontre structure,,,,,,,,,,,,,,
Sensib pro PSA  Bastille,75,Rencontre structure,,,,,,,,,,,PSA Bastille,CASVP,,
Sensib pro AGORAé 18ème,75,Rencontre structure,,,,,,,,,,,AGORAé 18ème,Association Générale des Étudiants de Paris,,
Sensib pro Restaurant  solidaire Baudricourt,75,Rencontre structure,,,,,,,,,,,Restaurant  solidaire Baudricourt,Centre d’action sociale de la Ville de Paris (CASVP),,
Sensib pro Antenne de Paris 16 (Sainte Jeanne de Chantal),75,Rencontre structure,,,,,,,,,,,Accueil Sainte Jeanne de Chantal (antenne Paris 16) ,"""Aux captifs, la Libération""",,
Sensib pro Revivre,75,Rencontre structure,,,,,,,,,,,Revivre,Association Revivre,,
Sensib pro La  maison des champs,75,Rencontre structure,,,,,,,,,,,La   maison des champs,,,
Sensib pro Espace  Parisien pour l'Insertion (EPI) 15ème - Moisant,75,Rencontre structure,,,,,,,,,,,Espace Parisien pour l'Insertion (EPI) 15ème - Moisant,Ville de Paris | Espace Parisien pour l'Insertion (EPI),,
Sensib pro ESI  Espace Saint-Martin,75,Rencontre structure,,,,,,,,,,,ESI Espace Saint-Martin,Armée du Salut | ESI,,
Sensib pro Centre  de Planification et d'Education Familiale (CPEF) Estrelia,75,Rencontre structure,,,,,,,,,,,Centre de Planification et d'Education Familiale (CPEF) Estrelia,Maison des Liens Familiaux | Centre de Planification et d'Education Familiale (CPEF) Estrelia,,
Sensib pro Maison de la colline,92,,,,,1.0,Sébastien Mollet,,,,,,Maison de la colline ,Maison de la colline Sèvres,,
Sensib pro Association Relais Pour l’Éducation et l’Insertion des Jeunes (ARPEIJE),92,Rencontre structure,,,,1.0,,,,,,,Association Relais Pour l’Éducation et l’Insertion des Jeunes (ARPEIJE),Association Relais Pour l’Éducation et l’Insertion des Jeunes (ARPEIJE),,
Sensib pro Délégation des Yvelines,78,Rencontre structure,Salarié.e,,,1.0,,,,,,,Accueil de jour Versailles - 24 terres d'accueil - secours catholique,Secours catholique - Délégation des Yvelines,,
Sensib pro La maison de la colline,92,Rencontre structure,,,,1.0,,,,,,,La maison de la colline supprimée,,,
Sensib bénéficiaire CMS Louis-Pasteur,92,Rencontre structure,,,,1.0,,,,,,,CMS Louis-Pasteur,Ville de Bagneux - CMS Louis-Pasteur,,
Sensib pro La Maison Magdalena,92,Rencontre structure,Salarié.e,,,1.0,,,,,,,Magdalena 92,L'association magdalena,,
Sensib pro Mission Locale Asnières-Villeneuve,92,Rencontre structure,,,,1.0,,,,,,,Mission Locale Asnières-Villeneuve,Mission Locale Asnières-Villeneuve,,
Sensib pro Secours populaire comité Boulogne,92,Rencontre structure,,,,1.0,,,,,,,Secours Populaire Comité Boulogne,Secours Populaire des Hauts-de-Seine,,
Sensib pro Secours Catholique du Blanc-Mesnil - Paroisse Notre Dame,93,Rencontre structure,Salarié.e,Théo Dumouchel,,,,,,,,,Secours Catholique - Le Blanc Mesnil,Secours Catholique - Délégation de la Seine-Saint-Denis,,
Coop 1 93,93,Coop,,,,,,,,,,,,,,
Sensib bénéficiaire Alcooliques anonymes - Groupe de Colombes,92,Rencontre structure,,,,1.0,,,,,,,Alcooliques anonymes - Groupe de Colombes,Alcooliques anonymes,,
Réunion pôle santé (PMI,78,,,,,,,,,,,,"PMI Plaisir,PMI Guyancourt,PMI des Clayes-sous-bois,PMI Elancourt,PMI de Maurepas","Département des Yvelines,Département des Yvelines,Département des Yvelines,Département des Yvelines,Département des Yvelines",,
PF ...) département,78,,,,,,,,,,,,"PMI Plaisir,PMI Guyancourt,PMI des Clayes-sous-bois,PMI Elancourt,PMI de Maurepas","Département des Yvelines,Département des Yvelines,Département des Yvelines,Département des Yvelines,Département des Yvelines",,
Sensib pro - SAS Rambouillet,78,,,,,,,,,,,,SAS Rambouillet,Département des Yvelines,,
Présentation ,33,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7777 Solinum,,,,,,,,,,,,,,,,
Copil Janvier 2020,75,Copil,Salarié.e,Solinum Paris,,6.0,,,,,,,,,"Etat réunions - Expé Soliguide - Ansa - Solinum 20200420.docx.pdf (https://dl.airtable.com/.attachments/a2be34f97b050c619472c7d16936a82b/d2d9f6a2/Etatrunions-ExpSoliguide-Ansa-Solinum20200420.docx.pdf),Solinum-Ansa Support copil 2 - 20200116 VF.pptx (https://dl.airtable.com/.attachments/8a41bf852661e5246fa0edd6768434ae/ee805926/Solinum-AnsaSupportcopil2-20200116VF.pptx),Solinum-Ansa Support copil 2 - 20200116 v2.pptx (https://dl.airtable.com/.attachments/66737085a3db752daca261f1ce5dcc55/d8c76280/Solinum-AnsaSupportcopil2-20200116v2.pptx),Solinum_Ansa_expérimentation COPIL 2 20200116.docx (https://dl.airtable.com/.attachments/0ee86c5f8dcdfa5f5abe214bc1736057/9cc7776a/Solinum_Ansa_exprimentationCOPIL220200116.docx)",
Sensib pro CASO Médecins du Monde,93,Rencontre structure,Salarié.e,Théo Dumouchel,,1.0,,,10/1/2018,Rencontre Nora Fallet flyers affiches amélioration plateforme,Permanence salle d'attente,,CASO Médecins du Monde - Saint Denis,Médecins du Monde,,
Interlogement 93,93,Réunion de coordination,Salarié.e,Théo Dumouchel,,10.0,,,25/4/2018,Présentation Soliguide réseau IL 93,,,,,,
sensib pro Centre beau-rivage,44,Rencontre structure,,,,,,,13/8/2018,"Guide de l'urgence sociale, prise de contact par formulaire le 11/01 pour avoir un mail, 22/01 relance le 31/01 validation le 31/01. Demande rencontre le 30/04, le 07/06, 11/06, MAJ 24/06, sensibilisation le 13/08",RDV le 30/09/2021 à 10h30 ,,Centre beau-rivage,Les Petits frères des Pauvres,,
Sensib pro MJD Aubervilliers,93,Rencontre structure,Salarié.e,Théo Dumouchel,,1.0,,,17/10/2018,?,,,MJD - Aubervilliers,MJD Aubervilliers,,
Sensib Terre d'Arcs-en-ciel,92,Rencontre structure,,,,1.0,,,18/10/2018,1 visite le 18/10/18,,,Terre d'Arcs-En-Ciel,Terre d'Arcs-En-Ciel,,
Sensib pro Restos du Coeur de Montreuil,93,Rencontre structure,Salarié.e,Théo Dumouchel,,1.0,,,9/11/2018,?,,,Restos du Cœur - Montreuil,Restos du Coeur de la Seine-Saint-Denis - Centres de distribution,,
Sensib pro Régie Associative Pierreﬁttoise d'insertion et de développement (RAPID),93,Rencontre structure,Salarié.e,Théo Dumouchel,,4.0,,,10/11/2018,Repas partagé au restaurant solidaire,,,Régie Associative Pierreﬁttoise d'insertion et de développement (RAPID) - Pierrefitte sur Seine,"""Régie Associative Pierreﬁttoise d'insertion et de développement (RAPID)
08/12/2021 : màj infos via appel Coline/création contact et compte pro Mr Dufour""",,
Sensib pro Espace Maison de l'Emploi,93,Rencontre structure,Salarié.e,Théo Dumouchel,,1.0,,,16/11/2018,Présentation Soliguide flyer affiches,,,Maison de l'Emploi - Ile Saint Denis,Plaine Commune - Maisons de l'Emploi,,
Sensib pro Secours Islamique de Saint-Denis,93,Rencontre structure,Salarié.e,Théo Dumouchel,,1.0,,,28/11/2018,Rencontre rdv flyer affiche,Réunion de service équipe maraude,,Secours Islamique - Saint Denis,Secours Islamique France,,
Sensib pro Restos du Coeur de La Courneuve,93,Rencontre structure,Salarié.e,Théo Dumouchel,,8.0,,,4/12/2018,Rencontre avec toute l'équipe,,,Restos du Cœur - La Courneuve,Restos du Coeur de la Seine-Saint-Denis - Centres de distribution,,
Sensib pro Secours Populaire - comité de Saint Ouen,93,Rencontre structure,Salarié.e,Théo Dumouchel,,1.0,,,6/12/2018,Présentation Soliguide flyer affiches,,,Secours Populaire - Saint Ouen,Secours Populaire Français - fédération de la Seine-Saint-Denis,,
SSD,93,Rencontre structure,Salarié.e,Théo Dumouchel,,2.0,,,19/12/2018,Présentation Soliguide Patrick lauthrey chef adjoint SSD et Arsène Boulouvi,,,"Circonscription du Service Social Départemental - Gagny et Neuilly sur Marne,Circonscription du Service Social Départemental - Pré-Saint-Gervais,Circonscription du Service Social Départemental - Sevran,Circonscription du Service Social Départemental - Drancy,Circonscription du Service Social Départemental - Montfermeil et Coubron,Circonscription du Service Social Départemental - Romainville,Circonscription du Service Social Départemental - Clichy sous Bois,Circonscription du Service Social Départemental - Rosny sous Bois,Circonscription du Service Social Départemental - Neuilly sur Marne et Neuilly Plaisance,Circonscription du Service Social Départemental - Epinay sur Seine,Circonscription du Service Social Départemental - Pierreﬁtte-Sur-Seine,Circonscription du Service Social Départemental - Ile Saint Denis,Circonscription du Service Social Départemental - Les  Pavillons-sous-Bois et Le Raincy,Circonscription du Service Social Départemental - Bondy,Circonscription du Service Social Départemental - La Courneuve,Circonscription du Service Social Départemental - Montreuil,Circonscription du Service Social Départemental - Stains,Circonscription du Service Social Départemental - Villemomble,Circonscription du Service Social Départemental - Villepinte,Circonscription du Service Social Départemental - Noisy le Sec,Circonscription du Service Social Départemental - Dugny et Le Bourget,Circonscription du Service Social Départemental - Villetaneuse,Circonscription du Service Social Départemental - Livry Gargan ,Circonscription du Service Social Départemental - Tremblay en France","Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis,Services Sociaux Départementaux de la Seine-Saint-Denis",,
