Sujet de la remontée,Référent,Personne à contacter,Adresse mail à contacter,Type de source,Source,Comportement souhaité,Plate-forme,Date de renseignement,Backlog web,Backlog app,Impact,Photo,Informations complémentaires,"Si c'est un bug, comment l'as-tu trouvé ?",Etat,Fonctionnalités générales,Type,Urgence,Roadmap copy,🧐 Bug ? RU ? Idée ?,Slack (from Référent),Traité le ,Référent de la remonté,Synchro AT soliguide
Fidélisation des utilisateurs de l'appli,Suzanne Danvin,,,Equipe Soliguide,,"Ca existe sur d'autres appli : lorsque je ne vais pas sur une appli après x temps (maybe 1 ou 2 mois), je reçois une notif du style ""ça fait longtemps qu'on ne vous a pas vu sur XXXX"". Ca pourrait être intéressant d'avoir ce genre de notif pour l'appli (donc plutôt des utilisateurs bénéficiaires que des pro) avec un message du type ""n'oubliez pas que Soliguide est à votre disposition si vous avez besoin de trouver de l'aide ou un accompagnement"".
Je ne sais pas si on a des stats sur les taux d'utilisation de personnes ayant téléchargé l'appli mais avec toutes les appli qu'on peut avoir sur un tél, on peut vitre oublier une appli.",App,11/1/2022,,,Mineur,,,,A traiter (=),,Idée,,,,,14/1/2022 12:15pm,,Val-de-Marne
Affichage des membres de l'équipe par ordre alphabétique,Perrine Poupaud,,,Equipe Soliguide,,"De plus en plus d'administrateurs créé des comptes pro Soliguide pour leur collaborateurs. Lorsque beaucoup d'invitation ont été envoyé il est très difficile de s'y retrouver. Il faudrait afficher les membre de l'équipe par ordre alphabétique. Une autre solution serait de pouvoir choisir l'affichage (comme on peur le faire maintenant pour les fiches) par exemple trier par type de fonction (admin, éditeur ou lecteur) ou ordre alphabétique.",Multiple,4/1/2022,896-Tri des collborateurs d'une organisation,,Mineur,Capture.PNG (https://dl.airtable.com/.attachments/7e30f2cf16e49115c46aa6e6b64c9ca6/7512bf4d/Capture.PNG),,,A traiter (=),,Idée,,,,,6/1/2022 4:57pm,,Provence-Alpes-Côte-d'Azur
Bug adresse non reconnue lors de la création d'une structure sur Soliguide,Perrine Poupaud,,,Equipe Soliguide,,Je souhaite que toute les adresses qui existe sur Google Maps puissent être saisie dans Soliguide,Multiple,4/1/2022,895-adresse non reconnue dans l'édition d'une fiche,,Critique,"Capture.PNG (https://dl.airtable.com/.attachments/33226cae9dd45ede62f4578c6af15c3f/6e3d19e0/Capture.PNG),Capture 2.PNG (https://dl.airtable.com/.attachments/a993005d4a952a40960baf9846141bca/56f57834/Capture2.PNG)",,,A traiter (=),,Bug,,,,,6/1/2022 4:51pm,,Provence-Alpes-Côte-d'Azur
Bouton voir la fiche sur la page admin des fiches n'apparaît pas pour les pros quand la fiche est en brouillon,Perrine Poupaud,,,Equipe Soliguide,,Il faudrait que ce bouton soit visible pour les pro même si la fiche est en brouillon puisque la page est accessible pour eux,Plate-forme Web V2,10/12/2021,,,Mineur,,,,A traiter (=),,Retour Utilisateur,,,,,23/12/2021 11:07am,,Alpes-Maritimes
proposer des lieux proches du lieu de recherche,Ségolène Robert,Jean Marc Auriol,,Bénévole,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/rec6Ess71Krjxf785,proposer des lieux proches du lieu de recherche,,1/12/2021,,,Majeur,,,,A traiter (=),🍄 Recherche par pertinence,Retour Utilisateur,,,,,3/12/2021 6:01pm,,
"Mise en place d'une fonctionnalité ""jours fériés""",Philippe Nieto,Karin Klein,kklein@siao.fr,115,SIAO 67,"Créer un encadré ""jours fériés"" où les structures peuvent indiquer si elles sont ouvertes les jours fériés ou non.

Ajouter en dessous un espace ""précision"" afin qu'elles puissent indiquer les jours fériés où la structure est ouverte.",Multiple,30/11/2021,823-Indiquer les jours fériés,,Majeur,,,,A traiter (=),,Idée,,,,,9/12/2021 4:15pm,Philippe ,Bas-Rhin
Gestion des mises à jour par Soliguide,Victoria Mandefield,,,Equipe Soliguide,,"Pour continuer dans la dynamique de détachement de airtable, gérer les mises à jour directement depuis Soliguide. 

- L'administrateur solinum OU l'administrateur territorial (ex : indre) a accès à un dashboard des mises à jour
- Ce dashboard est recherchable (par nom de fiche, numéro de fiche, nom d'organisation, date, adresse, mail de l'utilisateur ayant modifié) et filtrable (statut, type de la mise à jour, département, période entre deux dates, source)
- l'utilisateur a accès en premier aux mises à jour à noter (statut)
- l'utilisateur peut noter les mises à jour (statut validé, à préciser, non validé). 
- il y a une ligne par mise à jour au sens ""enregistrement réalisé par l'utilisateur"" et non par section mise à jour. En revanche, il est indiqué dans la ligne les tags des sections mises à jour (ex : horaires, information temporaire, etc.)
- l'utilisateur a accès a des statistiques par période donnée (ex : nb de mises à jour)
- il est notifié de manière journalière des mises à jour réalisées par des structures (= hors administrateur solinum ou administrateur territorial)
- le clic sur l'une des mises à jour emmène sur le détail de celle-ci (ex : https://soliguide.fr/historique/fiche/60fe9ea9a52d7706beb28b09)
- depuis une fiche soliguide, il est possible de cliquer sur ""voir l'historique complet"" ce qui emmène vers le dashboard de mise à jour filtré pour ne voir que cette fiche
- /!\ les anciennes mises à jour sont transférées sur ce nouveau dashboard, avec l'info du statut provenant de AT et des sauvegardes précédentes
- les mises à jour sont dûment sauvegardées et accessibles pour réaliser des statistiques",Plate-forme Web V2,29/11/2021,,,Mineur,,Les maquettes sont à challenger avec 1 chargé de dvpt et 1 administrateur territorial (indre),,A traiter (=),☀️ Màj été 2022,Idée,,,,,6/12/2021 10:45am,,National
Filtre de la recherche s'applique aux conditions spécifique du service,Perrine Poupaud,,,Equipe Soliguide,,Je souhaite que les filtres appliqués soient également recherché dans critères spécifiques des services. ,Multiple,29/11/2021,,,Mineur,,,,A traiter (=),🍄 Recherche par pertinence,Idée,,,,,6/12/2021 11:42am,,Provence-Alpes-Côte-d'Azur
Lien hypertexte à insérer ailleurs que dans la description,Charlotte Camard,,,Equipe Soliguide,,"Pouvoir mettre des liens hypertextes (notamment vers d'autres fiches) dans la section ""modalités d'accès"". Exemple : une distribution accessible uniquement sur orientation du CCAS --> mettre la fiche du CCAS dans la section texte ""précisions à apporter""",Plate-forme Web V2,17/11/2021,806-Text editor sur les modalités d'accès,,Mineur,,,,A traiter (=),,Retour Utilisateur,,,,,6/12/2021 11:23am,,Yvelines
"Ajout catégorie ""Transport/Mobilité""",Alice El Khoury Atieh,,,Partenaire opérationnel,"Membres des copils ardèche, cantal et puy de dome","L'objectif est de créer une catégorie ""Transport / Mobilité"" qui permette de référencer les différents services des associations et collectivités visant à faciliter les déplacements des personnes en situation de précarité ou d'isolement sur les territoires. 
C'est un service qui a été fixé comme priorité par les acteurs institutionnels lors des copils dans les nouveaux territoires ruraux et qui vise à offrir un niveau d'information similaire à ce qui est aujourd'hui automatisé grâce à google map dans les zones urbaines.

Dans un premier temps cette catégorie pourra mettre en avant principalement les structures qui propose un service ou un accompagnement à l'accès à la mobilité. Avec l'ajout des parcours maraude/mobiles, il pourra a terme intégrer les trajets de transports alternatifs.

En terme de types de transports, il existe aujourd'hui l'auto-partage, mise à disposition de véhicule, transport avec chauffeur, aide au permis de conduire, mise en relation de voisinage.
Ces types peuvent être utilisés comme services dans un premier temps et être affinés ensuite.",Multiple,3/11/2021,,,Majeur,,,,A traiter (=),,Idée,,,,,29/12/2021 2:31pm,"El Khoury Atieh, Alice, alice@solinum.org",National
,Charlotte Camard,Virginie Bernagou,,Professionnel de l'action sociale,SAS de la Celle Saint Cloud (département des Yvelines),"Pouvoir, lorsqu'on référence une fiche, cocher les communes concernées par cette structure. Exemple : un secteur d'action sociale est ""physiquement"" situé dans une ville (plutôt grande en général) et couvre les communes avoisinantes. 
Besoin : pouvoir voir apparaitre ce SAS quand on fait la recherche dans une commune qu'il couvre, même si son adresse ne s'y trouve pas. Ici, concrètement, le SAS de la celle saint cloud est apte à aider les personnes de fontenay le fleury. Mais, en tapant ""accompagnement social"" à fontenay le fleury, dans la logique actuelle, on ne voit pas le SAS avoisinant. 

Serait-il possible donc, de cocher les communes concernées (""votre structure touche-t-elle d'autres communes que celles sur laquelle vous vous situez ?"")

Un peu élaboré j'imagine mais à garder en tête :)",Outils (pour collaborateurs),19/10/2021,,,Mineur,,:),,A traiter (=),🍄 Recherche par pertinence,Idée,,,,,5/11/2021 5:50pm,Charlotte (Soliguide Yvelines),Ile de France
,,Maud BENOIT,,Structure de l'action sociale,Secours Catholique 94,Impression fiche entière,Plate-forme Web V2,11/10/2021,318-Aperçu d'impression,,Majeur,,,,A traiter (=),,Retour Utilisateur,,,,,4/11/2021 12:07pm,Suzanne,Val-de-Marne
,Suzanne Danvin,,,Professionnel de l'action sociale,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/rec2Q8kcPtsSmvgHT,Affichage complet de tous les résultats d'une recherche.,Plate-forme Web V2,11/10/2021,,,Majeur,,,,A traiter (=),Amélioration de la recherche,Bug,,,,,4/11/2021 12:07pm,,
,Alexandra lefeivre,,,Equipe Soliguide,,"Améliorer le SEO de Soliguide, qui aura un impact fort sur notre SEA.",Plate-forme Web V2,5/10/2021,,,Majeur,,,,A traiter (=),SEO,Idée,,,,,4/11/2021 12:07pm,,
,Jeanne Ovart,Léo CLOAREC,l.cloarec@captifs.fr,Association,"Espace Marcel Olivier - les captifs, la libération",Que la recherche soit oprimale,Plate-forme Web V2,5/10/2021,,,Critique,,"j'ai essayé de supprimer le service ""Accueil de jour "" de la structure est de le recréer mais cela n'a rien changé",Remontée par mail,A traiter (=),Amélioration de la recherche,Retour Utilisateur,,,,,4/11/2021 12:07pm,Jeanne Ovart ,
,kalisa amato,,,Professionnel de l'action sociale,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/rectVOBdtM3ikulAw,Un truc pour différentier le type de structure,Plate-forme Web V2,24/9/2021,683-Ajouter un type de structure,,Mineur,,,,A traiter (=),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Jimmy Bondu,,,Equipe Soliguide,,Je voudrais que la saisie soit refusée.,Plate-forme Web V2,14/9/2021,675-Horaire spécifique des services,,Mineur,202109141019.jpg (https://dl.airtable.com/.attachments/313b2f5434ca6698d8449f296c91e175/b67d6ce5/202109141019.jpg),,Bug trouvé lors de mes tests sur la PR de Yassine pour l'Indre et Loire.,A traiter (=),,Bug,,,,,4/11/2021 12:07pm,,
,Victoria Mandefield,,,Equipe Soliguide,,"Pouvoir faire des statistiques en fonction du type de structure en ajoutant un single select à la création d'un organisme entre :
- Service public
- Association
- Autre (collectif,...)",Base de donnée,9/9/2021,683-Ajouter un type de structure,,Négligeable,,,,A traiter (=),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
Pas la même écriture à 2 endroit ,Suzanne Danvin,,,Equipe Soliguide,,"Ajouter le S à ""La Maison des Solidarité""",Plate-forme Web V2,7/9/2021,,,Négligeable,"Image 2.PNG (https://dl.airtable.com/.attachments/f3aeb0fd46cddad2bbecf6d7af5126da/29450f93/Image2.PNG),Image 3.PNG (https://dl.airtable.com/.attachments/6c65a21e3f86cd4195394f814ef3b240/f4e06bd0/Image3.PNG),Image 1.PNG (https://dl.airtable.com/.attachments/8f3a3768142611cff07f726ac265f1a3/cfde68a9/Image1.PNG)",,Remonté par un partenaire,A traiter (=),,Bug,,,,,23/12/2021 11:12am,,
PIXEL,Alexandra lefeivre,,,Equipe Soliguide,,"Il existe une fonctionnalité ""pixel"" Facebook qui permet d'intégrer une balise sur le site de soliguide.fr afin de suivre le comportement des personnes qui cliquent sur notre publicité. Suite à une discussion avec Pierre, il semblerait que ce soit faisable mais que cela demande un temps assez long de paramétrage, à définir en fonction de ce que nous souhaitons avoir comme information. ",Plate-forme Web V2,26/8/2021,,,Mineur,,Un peu de littérature : https://www.facebook.com/business/help/742478679120153?id=1205376682832142,,A traiter (=),,Retour Utilisateur,,,,,21/12/2021 6:06pm,,
,Noémie Cohen,,,Equipe Soliguide,,"Ajouter le département dans les recherches

par exemple: recherche à Colombes = 92",Plate-forme Web V2,24/8/2021,572-Département dans les recherches,,Majeur,,,,A traiter (=),,Bug,,,,,4/11/2021 12:07pm,,
Formulaire màj,Agathe Thomas,,,Equipe Soliguide,,Avoir toutes les structures de cette orga dans le formulaire de mise à jour été ,Plate-forme Web V2,5/8/2021,564-Structure dans le formulaire de màj,,,,"La structure est présente ici : https://soliguide.fr/manage-organisation/332
mais pas là : https://soliguide.fr/campaign/orga/332",,A traiter (=),❄️ Màj hiver 2021,Bug,,,,,5/11/2021 10:09am,,
,Noémie Cohen,,,Equipe Soliguide,,Il faudrait que chaque màj soit liée à une fiche ,Plate-forme Web V2,4/8/2021,503-🔄 2 - Créer les fonctionnalités de synchronisation sur Soliguide pour les fiches,,Critique,ficheliée.png (https://dl.airtable.com/.attachments/622976c0fee36c314a651e7a4d9f914e/56e9fc08/ficheliee.png),,"Je m'étais posé la question plusieurs fois sans voir d'imapct, et là Ségolène m'a demandé pourquoi ",A traiter (=),,Bug,,,,,4/11/2021 12:07pm,,
,Solinum Bas-Rhin,,,Equipe Soliguide,,Ca pourrait être bien d'avoir un calendrier dans les horaires pour pouvoir sélectionner certains jours d'ouverture. ,Plate-forme Web V2,3/8/2021,50-Récurrence d'un évènement,,Majeur,,,,A traiter (=),,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
Synchro des orga,Noémie Cohen,,,Equipe Soliguide,,"Pour résoudre le problème 3:
Je boucle sur les users, si le statut est != ADMIN_SOLIGUIDE, je créer un dictionnaire entre l'ID de owner et la date de création du user. Je choisis ensuite la première date.
-> attention ce problème ne résout pas le point 2.

Pour résoudre ces trois problèmes d'une pierre deux coups: Le plus simple sera peut-être logger la date d'ajout des users à un organisme.",Plate-forme Web V2,26/7/2021,506-🔄 5 - Faire une première synchronisation des organisations,,Majeur,,Voir la figure 3 de https://nonoo22222.herokuapp.com/,,A traiter (=),🔄 Synchronisation Airtable-Soliguide,Bug,,,,,8/11/2021 12:12pm,,
,Charlotte Camard,,,Professionnel de l'action sociale,https://airtable.com/tbl4TlB0hec1uTyzI/viwtnX2OvSsyAhiZT/rechLgnLGsX8mMHkL,"Besoin  : avoir un répertoire de professionnels via Soliguide, soit, entre autres :

- des niveaux d'informations différenciés dans l'affichage des fiches selon quel type d'utilisateur on est : la ligne téléphone classique apparait pour tous, la ligne téléphone professionnelle directe apparait ""en plus"" pour les gens ayant un compte
- des comptes pros avec accès pour des personnes qui ne modifient rien (un genre de compte lecteur mais pas seulement sur une fiche, sur toutes les infos spécifiques d'un territoire donné par exemple). Exemple : un travailleur social d'un secteur d'action sociale, en se connectant à Soliguide, peut avoir les infos d'un collègue à 20km, cad son numéro pro direct et/ou adresse mail. Il ne peut cependant pas, avec cet accès, modifier les infos de sa structure. 
",Plate-forme Web V2,19/7/2021,,,Critique,,,,A traiter (=),☎️ Annuaire pro,Idée,,,,,4/11/2021 12:07pm,,
,Victoire Heymelot,,,Equipe Soliguide,,que les données de Soliguide soient reprises dans l'export ,Outils (pour collaborateurs),7/7/2021,,,Majeur,,,j'ai mis critique car ça représente le double de boulot de re vérifier et on est que 2 sur l'antenne 44 donc pas ouf :) Bon courage ,A traiter (=),📃 Liste papier,Bug,,,,,4/11/2021 12:07pm,,
,Victoria Mandefield,,,Equipe Soliguide,,"Comme avant la V2, avoir le panneau de fermeture sur la liste des résultats",Multiple,7/7/2021,81-Front page résultat de recherche ,,Majeur,"image_2021-07-07_220147.png (https://dl.airtable.com/.attachments/68bcee8da1371ab2314de831f00c3b30/a9b43228/image_2021-07-07_220147.png),image.png (https://dl.airtable.com/.attachments/fb461dc2020ecc0cf05e5eebcfdb01e3/77cebed6/image.png)",,,A traiter (=),🖌 Refonte de la page de résultat de recherche ,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
Automatisme de gestion des mises à jour ,Victoria Mandefield,,,Equipe Soliguide,,"- Avoir des adresses reconnues par google maps pour tout, et qui permette de travailler avec des lieux type WC ou fontaines qui n'ont pas d'adresse exacte
- Vérifier toute la base de données pour enlever toute fausse mention de participation financière",Base de donnée,30/6/2021,,,,,,,A traiter (=),,Retour Utilisateur,,,,,8/11/2021 11:55am,,
,Victoria Mandefield,,,Equipe Soliguide,,avoir une colonne date début et date de fin,Base de donnée,30/6/2021,,,,,,,A traiter (=),📃 Liste papier,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
,Victoria Mandefield,,,Equipe Soliguide,,"- Vérifier les horaires temporaires qui n'ont pas de date de début, pas de date de fin ou les deux
- Informer les équipes territoriales afin qu'elles puissent vérifier ces données et les réintégrer dans les fiches lorsque pertinent
- Supprimer le reste pour ne pas polluer les csv et la bdd et risquer des erreurs",Base de donnée,29/6/2021,,,,image.png (https://dl.airtable.com/.attachments/8a012d5eae4416268f93e63c60b9572e/fa774789/image.png),,,A traiter (=),📃 Liste papier,Retour Utilisateur,,,,,4/11/2021 12:07pm,,
