Nom du partenaire,Contact,Compte-rendu,Tags,Statut du partenariat,Domaine d'activité,Site,Opportunités,Adresse,Informations complémentaires,Rattachement à un partenaire national,Département (from CR),Département (from Contact),Département (from partenaires),Created
CAF Cantal 15,Pascal PONS,"""CR  Valérie Gauzentes Cœurdane, Pascal PONS, Pierre Beaumont, Marie-Eve Gorgas CCAS Aurillac (cantal), CAF Cantal 15, ANEF 15 - SIAO Cantal, CPAM Cantal 15, DDETS Cantal (15), Conseil départemental du Cantal (15) 2021-09-21T14:29:43.000Z""",Soliguide,En cours (contact/actions régulières),,,,,,,Cantal,Cantal,,29/7/2021
CAF Les Vosges 88 ,"Chantal JOB,Mathilde VIEL",,"Co-construction,Solinum,Financeur",,Caisse d'allocations familiales,https://www.caf.fr/allocataires/caf-des-vosges/accueil,,,,,,,,5/8/2021
CAF78,"Sabine de Broche,Estelle Le Goff",,Soliguide,,,,,,,,,,,20/1/2021
CAIO - PAPE,"Estelle Vacher,Adeline Cochet ","CR  Adeline Cochet  CAIO - PAPE 2021-11-17T09:16:01.000Z,""CR  Adeline Cochet , Estelle Vacher CAIO - PAPE 2021-11-17T09:23:35.000Z""","Merci pour l'invit',Orientation MPLI,Opérationnel",En cours (contact/actions régulières),"Information, orientation et accompagnement social des personnes de plus de 18 ans, seules ou en couple, avec ou sans enfant, sans résidence stable sur la ville de Bordeaux",https://www.caio-bordeaux.com/,,,,,"Gironde,Gironde","Gironde,Gironde",Gironde,3/2/2021
Caisse,,,,,,,,,,,,,,11/10/2021
Caisse d'épargne Grand-Est ,,,"Soliguide,Financeur",,,https://cegee.projets-caisse-epargne.fr/fr/,Fonds de dotation de la Caisse d’Epargne Grand Est Europe,,,,,,,11/10/2021
Carenews,,,"Financeur,Communication",En cours (contact/actions régulières),,,"Top 50 à des entrepreneurs à impact,TOP 50 de l'entrepreneuriat à impact - 2ème édition 2021",,,,,,,8/9/2020
CartONG,Clémence Beugnot,"CR   CartONG 2021-01-20T13:48:48.000Z,CR  Clémence Beugnot CartONG 2021-03-19T08:58:09.000Z",Soliguide,Terminé,"Cartographie, gestion de l'information",,,,,,"Gironde,Gironde",Gironde,,20/1/2021
CCAS Auray,Olivia BOUREL,CR  Olivia BOUREL CCAS Auray 2021-12-10T16:36:39.000Z,Soliguide,,Action sociale,,,,,,Morbihan,Morbihan,,24/11/2021
CCAS Aurillac (cantal),"Anne VERMEIL,Marie-Eve Gorgas","""CR  Valérie Gauzentes Cœurdane, Pascal PONS, Pierre Beaumont, Marie-Eve Gorgas CCAS Aurillac (cantal), CAF Cantal 15, ANEF 15 - SIAO Cantal, CPAM Cantal 15, DDETS Cantal (15), Conseil départemental du Cantal (15) 2021-09-21T14:29:43.000Z"",""CR  Valérie Gauzentes Cœurdane, Karine Cadoux, Nathalie BOIVENT, Pierre Beaumont, Marie-Eve Gorgas DDETS Cantal (15), ANEF 15 - SIAO Cantal, CCAS Aurillac (cantal), Conseil départemental du Cantal (15) 2022-01-13T17:11:04.000Z""",,En cours (contact/actions régulières),,,,,,,"Cantal,Cantal","Cantal,Cantal",,29/7/2021
CCAS Bordeaux,"Laurent Chivallon,Anne Marie Lebrun,Anabelle Got","CR  Anabelle Got CCAS Bordeaux 2021-03-19T11:31:45.000Z,CR  Anne Marie Lebrun CCAS Bordeaux 2021-08-12T12:56:28.000Z",Soliguide,En cours (contact/actions régulières),,http://www.bordeaux.fr/p80983/le-centre-communal-d-action-sociale,,,,,"Gironde,Gironde","Gironde,Gironde",,3/2/2021
CCAS Clermont,"Nathalie Portal ,Nelson Adonis ,Roxane PELLETIER ","""CR  Pierre Brun, Aurélien Le Thuaut, Guy Xicluna, Guy-Joël REBOISSON, Isabelle Tourret, Béatrice Aune , Martine Ley, Antoine Bouvet, Nathalie Portal , Bruno Inçaby, Bernadette Fougerouse, Raphaëlle Courtial , Véronique Pauq, Véronique Martin Saint-Léon, Stéphanie Flori Dutour, Eléonore Szczepaniak, Damien Reberry Conseil Départemental du Puy-de-Dôme (63), ANEF 63 / SIAO , Secours Catholique 63, DDETS 63, Clermont Auvergne Métropole, CCAS Clermont, Pôle Emploi 63, CAF 63, Mission locale Cournon, Mission locale de Clermont, Cecler 63 2021-10-22T13:36:57.000Z""",Soliguide,En cours (contact/actions régulières),,,,,,,Puy-de-Dôme,"Puy-de-Dôme,Puy-de-Dôme,Puy-de-Dôme",,29/10/2021
CCAS de Bourges,Ambre GREGOIRE,CR  Ambre GREGOIRE CCAS de Bourges 2021-05-11T09:24:28.000Z,Financeur,,,,,,,,Cher,,,11/5/2021
CCAS de Cenon,Arburua Sylvain ,,"Merci pour l'invit',Orientation MPLI",Terminé,,,,,,,,Gironde,,4/11/2021
CCAS de Grenoble,Emmanuelle Passot,CR  Emmanuelle Passot CCAS de Grenoble 2021-04-16T14:01:19.000Z,"Soliguide,Opérationnel,API",,,solidarites-grenoble.fr,,,,,Isère,,,16/4/2021
CCAS de Limoges,Aurélie Lecointre,"""CR  Stéphane Razgallah, Aurélie Lecointre, Marie-Véronique Laplaud ARSL (association de réinsertion sociale du limousin) / SIAO Haute-vienne, CCAS de Limoges, """"DDETSPP Haute-Vienne -Direction départementale de l'emploi, du travail, des solidarités et de la protection des populations """" 2021-11-23T11:12:51.000Z""",Soliguide,,,,,,,,Haute-Vienne,Haute-Vienne,,23/11/2021
CCAS de Nantes,Guillaume GAUTREAU,"CR  Guillaume GAUTREAU CCAS de Nantes 2021-06-23T15:06:22.000Z,CR  Guillaume GAUTREAU CCAS de Nantes 2021-10-01T14:45:58.000Z",Soliguide,Contacté/ en négociation,Guide d'urgence sociale ,,,,,,"Loire-Atlantique,Loire-Atlantique",,,23/6/2021
CCAS de Neufchâteau (88),Eric DELETANG,,"Soliguide,Financeur,Co-construction",,,,,,,,,,,5/8/2021
CCAS de Rouen,"Gaëlle Tanasescu,Nadia Foughal","CR   CCAS de Rouen 2021-10-20T09:11:34.000Z,""CR  Gaëlle Tanasescu, Nadia Foughal CCAS de Rouen 2021-10-29T14:29:48.000Z""","Soliguide,Financeur,Co-construction",,,,,"2 Rue de Germont, 76000 Rouen",,,"Seine-Maritime,Seine-Maritime",,,20/10/2021
CCAS de Saint Nazaire,Franck Bouchez,CR  Franck Bouchez CCAS de Saint Nazaire 2021-05-21T16:22:56.000Z,Soliguide,Souhaité,,,,,,,Loire-Atlantique,,,22/6/2021
CCAS de Vannes, Christelle Frossard ,"CR   Christelle Frossard  CCAS de Vannes 2021-07-31T14:51:59.000Z,CR   Christelle Frossard  CCAS de Vannes 2022-01-17T16:54:53.000Z",,,,,,,,,"Morbihan,Morbihan",Morbihan,,31/7/2021
CCAS du Havre,"Valérie Rivier,Christian Bigot","""CR  Valérie Rivier, Christian Bigot CCAS du Havre 2021-10-20T10:13:19.000Z"",CR  Valérie Rivier CCAS du Havre 2022-01-05T08:57:49.000Z,CR  Valérie Rivier CCAS du Havre 2022-01-21T07:27:25.000Z","Soliguide,Co-construction",,Action sociale,,,"3 place Albert René, 76600, Le Havre ",,,"Seine-Maritime,Seine-Maritime,Seine-Maritime",,,20/10/2021
CCAS Epinal (88),claude.loudig@epinal.fr,,"Soliguide,Financeur,Co-construction",,,,,,,,,,,5/8/2021
CCAS Lorient,"Pascal BEUZIT,Aude Dodier","""CR  Pascal BEUZIT, Aude Dodier CCAS Lorient 2021-12-02T15:28:12.000Z""",Soliguide,,Action Sociale,,,,,,Morbihan,"Morbihan,Morbihan",,24/11/2021
CCAS Pontivy,Sandra LETHIEC,,,,Action Sociale,,,,,,,Morbihan,,24/11/2021
CCAS Saint Brieuc,Eric Nicolas,,,,Action sociale territoriale ,,,,,,,Côtes-d'Armor,,17/11/2021
CCAS Saint-Dié-des-Vosges (88),Nathalie MANDRA,,"Soliguide,Financeur,Co-construction",,,,,,,,,,,5/8/2021
CCAS Saint-Flour ,Patrice SOLIER,CR  Patrice SOLIER CCAS Saint-Flour  2021-11-22T16:32:32.000Z,Soliguide,Contacté/ en négociation,,https://www.saint-flour.net/au-quotidien/social-solidarite/ccas/,,,,,Cantal,,,22/11/2021
CCAS Strasbourg,"Daphné Burckard,Floriane Varieras",,Financeur,,,https://www.strasbourg.eu/contact-centre-communal-action-sociale,"CCAS Strasbourg 2020,CCAS Strasbourg 2021,CCAS Strasbourg 2022",,,,,,,3/2/2021
CD 24 - Conseil Départemental de Dordogne,Mireille VOLPATO,CR  Mireille VOLPATO CD 24 - Conseil Départemental de Dordogne 2022-01-31T15:20:35.000Z,Soliguide,Contacté/ en négociation,,https://www.dordogne.fr/,,"2,  Rue Paul Louis Courier 24019 Périgueux cedex",Hôtel du département,,Dordogne,Dordogne,,31/1/2022
CD Morbihan (56),"Marion BOZEC,Emmanuel MARTIN,Erwan Le Franc","""CR  Marion BOZEC, Erwan Le Franc CD Morbihan (56) 2021-12-20T15:50:16.000Z""",,,Collectivité territoriale ,,,,,,Morbihan,"Morbihan,Morbihan,Morbihan",,16/11/2021
CDAD 92,"Madame Félicie CALLIPEL,Sylvie BENARDEAU",,Soliguide,Souhaité,,,CDAD 92 - 2021,,,,,"Hauts-de-Seine,Hauts-de-Seine",,8/10/2020
CDAD 94,,,"Soliguide,Co-construction",Souhaité,,,,,Contact donné par Emilie (91) fin 2021 > à contacter,,,,Val-de-Marne,14/1/2022
CEB - Council of Europe Development Bank,Isabelle Brun  ,,"Financeur,Soliguide",,addresses pressing social issues and makes a significant contribution to social cohesion in an innovative and effective way.,https://coebank.org/fr/,"CEB Award for Social Cohesion 2020,CEB Award for Social Cohesion 2021",,,,,,,3/2/2020
Cecler 63,"Pierre Brun,Alexandre REYNAUD","""CR  Pierre Brun, Aurélien Le Thuaut, Guy Xicluna, Guy-Joël REBOISSON, Isabelle Tourret, Béatrice Aune , Martine Ley, Antoine Bouvet, Nathalie Portal , Bruno Inçaby, Bernadette Fougerouse, Raphaëlle Courtial , Véronique Pauq, Véronique Martin Saint-Léon, Stéphanie Flori Dutour, Eléonore Szczepaniak, Damien Reberry Conseil Départemental du Puy-de-Dôme (63), ANEF 63 / SIAO , Secours Catholique 63, DDETS 63, Clermont Auvergne Métropole, CCAS Clermont, Pôle Emploi 63, CAF 63, Mission locale Cournon, Mission locale de Clermont, Cecler 63 2021-10-22T13:36:57.000Z"",CR  Alexandre REYNAUD Cecler 63 2021-12-21T18:39:27.000Z",,En cours (contact/actions régulières),,,,,,,"Puy-de-Dôme,Puy-de-Dôme","Puy-de-Dôme,Puy-de-Dôme",,29/10/2021
Centrale Supélec,,,Financeur,,,https://www.centralesupelec.fr/,Appel à projets DATA/IA Centrale Supélec,,,,,,,3/2/2021
Centre de santé : A vos soins (créateur du Marsoins),,,Soliguide,,,,,,,,,,,20/11/2020
Centre hospitalier Théophile Roussel,Florence Grellet,,Soliguide,,,,,,,,,,,20/1/2021
Centre Paris Anim’ Poterne Des Peupliers,,,Locaux,,,https://ligueo.ligueparis.org/centre/9-poterne-des-peupliers,,"1 Rue Gouthière, 75013 Paris","Capacité d'accueil/Matériel
> Petite salle jusque 25m²
> Moyenne salle de 26m² à 50m²
> Grande salle + de 50m²

Prix
> Petite salle = 185,63
> Moyenne salle = 266,84
> Grande salle = 348,05
Tarif à la journée

Personne à contacter
> aseuve@ligueparis.org",,,,,20/4/2021
Centre psychothérapique de l'ain,,"""CR  Guillaume Pégnon, Marina Peuvergne Centre psychothérapique de l'ain 2021-03-12T14:57:13.000Z""",Opérationnel,,,,,,,,Ain,,,11/3/2021
Chango Avocats,Vincent Fillola,CR  Vincent Fillola Chango Avocats 2022-02-02T10:24:28.000Z,"Prestataire,Mécénat/bénévolat",,,,,,,,,,,2/2/2022
CHI Poissy/Saint-Germain en Laye,,,Soliguide,,Centre hospitalier intercommunal,http://www.chi-poissy-st-germain.fr/fr/Page-d-accueil-167.html,,,,,,,,3/2/2021
CHTR,"Jacques Lahely,Undraa Enkhamgalan ,Caroline Jegoudez,Undraa Enkhamgalan","CR   CHTR 2021-01-07T09:56:52.000Z,""CR  Undraa Enkhamgalan , Caroline Jegoudez CHTR 2021-04-28T15:54:45.000Z""",Soliguide,,,,CHTR /ARS étude précarité et santé mentale,,,,"Yvelines,Yvelines",,,7/1/2021
CIAS Ploërmel,QUATREVILLE Véronique,,Soliguide,,Action Sociale,,,,,,,Morbihan,,24/11/2021
CIDFF Bordeaux,"David Chasco,Marie Christine Bustin,Mathilde Clément",,"Merci pour l'invit',Opérationnel,Orientation MPLI",En cours (contact/actions régulières),Orientation MPLI,,,,,,,"Gironde,Gironde,Gironde",,19/3/2021
CIDFF Paris,Dominique (TS CIDFF Paris),,Orientation MPLI,,accompagnement des femmes victimes de violences sexistes,https://fncidff.info/cidff-de-paris,,17 Rue Jean Poulmarch 75010 Paris,,,,Paris,,2/11/2021
CIRAD,Nicolas Bricas,"""CR  Nathalie Bollon, Justine Labarre, Nicolas Bricas, Beaussier Françoise, Mélodie DEPALLE Conseil départemental de l'hérault (34), Supagro montpellier, CIRAD, FAS occitanie 2021-10-14T10:50:18.000Z""",Soliguide,,Recherches alimentation et agriculture,https://www.cirad.fr/en,,,,,Hérault,,,14/10/2021
Citad'elles,,CR   Citad'elles 2021-04-21T10:45:33.000Z,Merci pour l'invit',Non souhaité,MPLI,https://www.nantescitadelles.fr/,,,,,Loire-Atlantique,,,21/4/2021
Cité des Dames - Armée du salut,"Lolita Iborra,Julie Lavayssière",,"Orientation MPLI,Merci pour l'invit'",,Accueil femmes seules sans abri,,,"39 Rue du Chevaleret, 75013 Paris",,,,"Paris,Paris",,2/11/2021
Clermont Auvergne Métropole,Bruno Inçaby,"""CR  Pierre Brun, Aurélien Le Thuaut, Guy Xicluna, Guy-Joël REBOISSON, Isabelle Tourret, Béatrice Aune , Martine Ley, Antoine Bouvet, Nathalie Portal , Bruno Inçaby, Bernadette Fougerouse, Raphaëlle Courtial , Véronique Pauq, Véronique Martin Saint-Léon, Stéphanie Flori Dutour, Eléonore Szczepaniak, Damien Reberry Conseil Départemental du Puy-de-Dôme (63), ANEF 63 / SIAO , Secours Catholique 63, DDETS 63, Clermont Auvergne Métropole, CCAS Clermont, Pôle Emploi 63, CAF 63, Mission locale Cournon, Mission locale de Clermont, Cecler 63 2021-10-22T13:36:57.000Z""",,En cours (contact/actions régulières),,https://www.clermontmetropole.eu/accueil/,,,,,Puy-de-Dôme,Puy-de-Dôme,,29/10/2021
CNCRESS,,,Financeur,,"Economie sociale et solidaire: développement économique, égalité homme/femme, transition écologique",http://www.cncres.org/,"Prix de l'ess,CRESS : Prix de l'ESS",,,,,,,23/3/2020
CNLE (Conseil national des politiques de lutte contre la pauvreté et l'exclusion sociale),Nicolas Duvoux,CR  Nicolas Duvoux CNLE (Conseil national des politiques de lutte contre la pauvreté et l'exclusion sociale) 2021-10-15T16:32:24.000Z,,,,https://www.cnle.gouv.fr/,,,,,,,,15/10/2021
CoCoShaker ,"Pauline Tranchant ,Marion Audissergues","""CR  Pauline Tranchant , Marion Audissergues CoCoShaker  2021-11-10T19:36:37.000Z"",CR  Marion Audissergues CoCoShaker  2021-12-15T15:36:09.000Z,""CR  Marion Audissergues, Pauline Tranchant  CoCoShaker  2022-01-11T21:52:36.000Z""",Soliguide,En cours (contact/actions régulières),Incubateur en innovation sociale Auvergne ,https://www.cocoshaker.fr/,,,,,"Puy-de-Dôme,Cantal,Puy-de-Dôme,Cantal,Puy-de-Dôme,Cantal","Puy-de-Dôme,Cantal,Puy-de-Dôme,Cantal",,9/11/2021
Codélico 67,,,Soliguide,,"Développement des actions et pratiques partenariales de l’Action Sociale, dans le département du Bas-Rhin.",http://codelico.67.free.fr/a_wp314/?page_id=26,,,,,,,,3/2/2021
Coeurs résistants,,,Soliguide,,"Aide alimentaire, vestimentaire et sanitaire ",https://coeursresistants.wixsite.com/asso,,"9 Rue Legraverend 35000, Rennes",,,,,,5/10/2021
Collectif Citoyens Fraternels 92,"Marion Ouabdelkader,Henriette Broslemoine",,,Contacté/ en négociation,,,,,,,,"Hauts-de-Seine,Hauts-de-Seine",Hauts-de-Seine,7/1/2022
Collectif emploi,,"""CR  Agathe Latreille, Hélène Kergoat, Arnaud Denoix beta.gouv, Collectif emploi 2021-06-07T14:06:11.000Z"",""CR  Agathe Latreille, Hélène Kergoat beta.gouv, Collectif emploi 2021-07-14T15:53:12.000Z"",""CR  Hélène Kergoat, Pierre Bouvier-Muller Collectif emploi, Data players 2021-12-23T11:12:15.000Z"",""CR  Hélène Kergoat, Pierre Bouvier-Muller Collectif emploi, Data players 2022-01-10T17:03:50.000Z""",Soliguide,,,,,,,,,,,7/6/2021
Collectif Partages et Projets ,Loraine Henry,"""CR  Loraine Henry, Marie-Rose Gremeau , Gilles Loubier , Marie Thonier , Pascale Blanchetière, Flore Chalayer Collectif Partages et Projets , Secours Catholique 63, ANEF 63 / SIAO , FAS Auvergne-rhône-alpes, URIOPSS Auvergne-Rhône-Alpes 2021-10-13T17:03:08.000Z""",Soliguide,Souhaité,,,,,Rencontre de la Directrice Lorène Henri lors d'une réunion du Collectif Alerte ,,Puy-de-Dôme,,,13/10/2021
Collectivité Européenne d'Alsace,"Florian Kobryn,Pauline Kehren,Alexandra Lazzari","CR  Cynthia THEVENOT Collectivité Européenne d'Alsace 2021-05-07T12:14:46.000Z,CR  Florian Kobryn Collectivité Européenne d'Alsace 2021-10-11T14:51:11.000Z,""CR  Pauline Kehren, Alexandra Lazzari Collectivité Européenne d'Alsace 2022-01-21T15:57:53.000Z""",Soliguide,,,https://www.alsace.eu,Demande de subvention 2022 CeA ,,,,"Bas-Rhin,Haut-Rhin,Bas-Rhin,Haut-Rhin,Bas-Rhin,Haut-Rhin","Bas-Rhin,Bas-Rhin",,7/5/2021
Comede,Bénédicte Maraval,CR  Bénédicte Maraval Comede 2021-03-17T09:36:06.000Z,"Soliguide,Opérationnel",Contacté/ en négociation,Soliguide,,,,,,"Paris,Val-de-Marne,Seine-Saint-Denis,Hauts-de-Seine",,,17/3/2021
Comité national Coordination Action Handicap (CCAH),,,Financeur,,Handicap,https://www.ccah.fr/,"Human&Go Covid,Human&Go ",,,,,,,4/5/2020
Conseil départemental,,,Soliguide,,,,,,,,,,,20/1/2021
Conseil départemental 77,Sonia Derdiri,"""CR  Sonia Derdiri, Geneviève DOGBE Conseil départemental 77 2021-09-20T10:50:38.000Z""",,,,,,,,,,,,20/9/2021
Conseil Départemental 91,Mireille LAPLACE,,,En cours (contact/actions régulières),,https://www.essonne.fr/,Conseil Départemental 91,,,,,Essonne,,20/12/2021
Conseil départemental 92,"Arnaud Lopez,Luc Roncallo,Luc Molenat,Thi Tran","CR   Conseil départemental 92 2021-01-20T17:14:44.000Z,CR  Sandrine Miclon-Hautbois Conseil départemental 92 2021-04-02T15:14:57.000Z,""CR  Luc Roncallo, Luc Molenat Conseil départemental 92 2021-11-26T17:20:31.000Z""",Soliguide,En cours (contact/actions régulières),,,"Demande de subvention CD 92 - 2021,CD 92 2022",,"12/11/21 (sr) email à Mr Lopez, envoi dashboard màj été
,30.11.21 (sr) rendu du dossier de financement 2022, aujourd'hui étant la date limite, cela inclus le bilan de la demande 2021, je préviens Luc Roncallo et Luc Molenat que le président est bien Didier Jaubert et que c'est bien moi la chargée du dossier (et non pas Blanche) avec le PV du 27 septembre 2021 en pj (impossible de changer sur la plateforme les membres solinum)
dans un autre email : Mr Roncallo me transmet les contacts des responsables des assos AFED, Escale et le centre Flora Tristan suite à notre échange de la semaine derniere + le logo des HDS pour qu'il soit intégré à toutes les fiches des structures financées par le département (il devait me transmettre la liste de ces structures mais ne le fait pas)
je le remercie, lui indique que je contacterai les responsables de ces assos prochainement, et lui demande s'il peut me transmettre les coordonnées du responsable comm du CD92 comme convenu, lui demande s'il peut me transmettre la liste des structures solidaires financées par le CD pour que je les référence et y intègrer le logo, je leur indique également que je fais le point sur comment bien intégrer le logo du département sur les fiches concernées avec l'équipe et revient vers eux avec des propositions, je fais un message slack à ce sujet, pour demander ce qui est envisageable de proposer.  rappel fait sur mon agenda et base soliguide fusionné (news comm, liste structures,  logo + approcher les assos pour les femmes)
9.12.21 (sr) Mr Roncallo me répond simplement qu'il a contacté le service comm' au sujet Soliguide et qu'il reviendra vers moi.
12.01.22 (sr) je souhaite mes voeux + dashboard maj hiver aux 4 : Roncallo, Lopez, Molenat et Tran. leur demande s'ils ont des nouvelles du service communication, leur redemande la liste des structures du CD (hormi pmi et SST) afin que j'insère le logo sur les fiches directement (on ne peut pas afficher le logo en haut sur certaines fiches uniquement, soit tout le territoire soit personne, il faut donc ajouter dans les photos des structures), les prévient que j'ai contacté les structures Flora Tristan, AFED et l'Escale pour MPLI, les remercie encore je me fais un rappel",,"Hauts-de-Seine,Hauts-de-Seine,Hauts-de-Seine","Hauts-de-Seine,Hauts-de-Seine,Hauts-de-Seine,Hauts-de-Seine",,20/1/2021
Conseil départemental Bas-Rhin ,Cynthia THEVENOT,,Soliguide,,,,"""Plan de soutien aux associations, aux activités de proximité et aux familles""",,,,,,,21/7/2020
Conseil départemental Charente,"Raphaël Gonzalez,Hélène CAVIGNAC,Hélène GINGAST,Marie PRAGOUT,Fabienne REJOU,Stéphanie SYRAS,Sylvie THENOT,Anne Martron","CR  Raphaël Gonzalez Conseil départemental Charente 2021-04-02T16:15:40.000Z,CR  Raphaël Gonzalez Conseil départemental Charente 2021-05-12T17:10:42.000Z,CR  Raphaël Gonzalez Conseil départemental Charente 2021-06-08T08:35:17.000Z,CR  Raphaël Gonzalez Conseil départemental Charente 2021-08-31T09:54:27.000Z,CR  Delphine Minaud Conseil départemental Charente 2021-09-09T14:22:42.000Z,""CR  Delphine Minaud, Hélène CAVIGNAC, Stéphanie SYRAS, Marie PRAGOUT, Hélène GINGAST, Fabienne REJOU, Sylvie THENOT Conseil départemental Charente 2021-10-28T14:43:27.000Z"",CR  Delphine Minaud Conseil départemental Charente 2021-11-30T08:38:22.000Z,""CR  Isabelle Rioux, Luc Viart, Maxime Barreau, Fabienne REJOU, Stéphanie SYRAS Conseil départemental Charente 2022-01-14T18:01:54.000Z"",""CR  Didier Gallau, Hélène GINGAST, Luc Viart, Isabelle Rioux, Maxime Barreau, Fabienne REJOU Conseil départemental Charente, Sous-préfecture de Charente, Mairie de Merpins 2022-01-20T12:14:21.000Z""","Financeur,Soliguide,Opérationnel,Communication,Locaux",,Collectivité territoriale : cohésion sociale,https://www.lacharente.fr/,,,,,"Charente,Charente,Charente,Charente,Charente,Charente,Gironde,Charente,Charente","Charente,Charente,Charente,Charente,Charente,Charente,Charente,Charente",,2/4/2021
